Film,Year,Awards,Nominations
Children of a Lesser God,1986,1,5
The Color of Money,1986,1,4
Top Gun,1986,1,4
Round Midnight,1986,1,2
Albert Schweitzer,1957,1,1
The Assault (De Aanslag),1986,1,1
Down and Out in America,1986,1,1
The Fly,1986,1,1
Pelle the Conqueror (Pelle erobreren),1988,1,2
The Accidental Tourist,1988,1,4
"Deadly Deception: General Electric, Nuclear Weapons and Our Environment",1991,1,1
God of Love,2010,1,1
Inside Job,2010,1,1
Strangers No More,2010,1,1
Goodfellas,1990,1,6
The Hunt for Red October,1990,1,3
Reversal of Fortune,1990,1,3
Cyrano de Bergerac,1990,1,5
American Dream,1990,1,1
Journey of Hope (Reise der Hoffnung),1990,1,1
Days of Waiting,1990,1,1
Creature Comforts,1990,1,1
The Lunch Date,1990,1,1
Misery,1990,1,1
The Wolfman,2010,1,1
Dead Poets Society,1989,1,4
Working Girl,1988,1,6
The Abyss,1989,1,4
Indiana Jones and the Last Crusade,1989,1,3
Henry V,1989,1,3
The Johnstown Flood,1989,1,1
Common Threads: Stories from the Quilt,1989,1,1
Cinema Paradiso,1989,1,1
Work Experience,1989,1,1
Batman,1989,1,1
Balance,1989,1,1
The Lost Thing,2010,1,1
In a Better World,2010,1,1
Black Swan,2010,1,5
Mississippi Burning,1988,1,7
Independence Day,1996,1,2
Evita,1996,1,5
Precious Images,1986,1,1
Shine,1996,1,7
Tsotsi,2005,1,1
Wallace & Gromit: The Curse of the Were-Rabbit,2005,1,1
La Maison en Petits Cubes,2008,1,1
Toyland,2008,1,1
Finding Neverland,2004,1,7
Sideways,2004,1,5
Lemony Snicket's A Series of Unfortunate Events,2004,1,4
Spider-Man 2,2004,1,3
Eternal Sunshine of the Spotless Mind,2004,1,2
The Motorcycle Diaries,2004,1,2
The Sea Inside,2004,1,2
Born into Brothels,2004,1,1
Mighty Times: The Children's March,2004,1,1
Wasp,2004,1,1
Ryan,2004,1,1
Cold Mountain,2003,1,7
Lost in Translation,2003,1,4
Finding Nemo,2003,1,4
The Barbarian Invasions,2003,1,2
Two Soldiers,2003,1,1
Monster,2003,1,1
Harvie Krumpet,2003,1,1
Chernobyl Heart,2003,1,1
The Fog of War,2002,1,1
Man on Wire,2008,1,1
Smile Pinki,2008,1,1
The Hours,2002,1,9
Road to Perdition,2002,1,6
Adaptation,2002,1,4
A Note of Triumph: The Golden Age of Norman Corwin,2005,1,1
The Moon and the Son: An Imagined Conversation,2005,1,1
Six Shooter,2005,1,1
Pirates of the Caribbean: Dead Man's Chest,2006,1,4
The Golden Compass,2007,1,2
Elizabeth: The Golden Age,2007,1,2
Taxi to the Dark Side,2007,1,1
Peter & the Wolf,2007,1,1
Once,2007,1,1
Le Mozart des pickpockets,2007,1,1
The Counterfeiters (Die Fälscher),2007,1,1
Freeheld,2007,1,1
Ratatouille,2007,1,5
Michael Clayton,2007,1,7
Babel,2006,1,7
The Queen,2006,1,6
Letters from Iwo Jima,2006,1,4
The Danish Poet,2006,1,1
March of the Penguins (La Marche de l'empereur),2005,1,1
Happy Feet,2006,1,1
The Last King of Scotland,2006,1,1
The Lives of Others (Das Leben der Anderen),2006,1,1
Marie Antoinette,2006,1,1
West Bank Story,2006,1,1
The Blood of Yingzhou District,2006,1,1
Atonement,2007,1,7
Capote,2005,1,5
Walk the Line,2005,1,5
The Constant Gardener,2005,1,4
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",2005,1,3
Hustle & Flow,2005,1,2
Syriana,2005,1,2
Talk to Her (Hable con ella),2002,1,2
This Charming Man (Der Er En Yndig Mand),2002,1,1
Spirited Away,2002,1,1
The Prince of Egypt,1998,1,2
Boys Don't Cry,1999,1,2
Tarzan,1999,1,1
One Day in September,1999,1,1
The Red Violin (Le violon rouge),1999,1,1
The Old Man and the Sea,1999,1,1
My Mother Dreams the Satan's Disciples in New York,1999,1,1
King Gimp,1999,1,1
"Girl, Interrupted",1999,1,1
All About My Mother (Todo sobre mi madre),1999,1,1
Logorama,2009,1,1
The New Tenants,2009,1,1
Elizabeth,1998,1,7
Gods and Monsters,1998,1,3
Affliction,1998,1,2
Big Mama,2000,1,1
What Dreams May Come,1998,1,2
The Personals,1998,1,1
The Last Days,1998,1,1
Election Night (Valgaften),1998,1,1
Bunny,1998,1,1
The Full Monty,1997,1,4
Men in Black,1997,1,3
Visas and Virtue,1997,1,1
Character (Karakter),1997,1,1
Geri's Game,1997,1,1
A Story of Healing,1997,1,1
The Long Way Home,1997,1,1
The Cove,2009,1,1
Sleepy Hollow,1999,1,3
Quiero ser (I want to be...),2000,1,1
Nowhere in Africa (Nirgendwo in Afrika),2002,1,1
Thoth,2001,1,1
The ChubbChubbs!,2002,1,1
Twin Towers,2002,1,1
Bowling for Columbine,2002,1,1
8 Mile,2002,1,1
Vicky Cristina Barcelona,2008,1,1
Departures,2008,1,1
Gosford Park,2001,1,7
"Monsters, Inc.",2001,1,4
Pearl Harbor,2001,1,4
Iris,2001,1,3
Shrek,2001,1,2
Training Day,2001,1,2
Monster's Ball,2001,1,2
For the Birds,2001,1,1
Into the Arms of Strangers: Stories of the Kindertransport,2000,1,1
No Man's Land,2001,1,1
Murder on a Sunday Morning (Un coupable idéal),2001,1,1
The Accountant,2001,1,1
The Duchess,2008,1,2
The Reader,2008,1,5
WALL-E,2008,1,6
Erin Brockovich,2000,1,5
Almost Famous,2000,1,4
Wonder Boys,2000,1,3
How the Grinch Stole Christmas,2000,1,3
U-571,2000,1,2
Pollock,2000,1,2
Father and Daughter,2000,1,1
A Greek Tragedy,1986,1,1
Artie Shaw: Time Is All You've Got,1986,1,1
The Redwoods,1967,1,1
The Bolero,1973,1,1
Closed Mondays,1974,1,1
Don't,1974,1,1
Selma,2014,1,2
Hearts and Minds,1974,1,1
"One-Eyed Men Are Kings (...borgnes sont rois, Les)",1974,1,1
The Lady in Number 6,2013,1,1
Cries and Whispers (Viskningar och rop),1973,1,5
A Touch of Class,1973,1,5
Day for Night (La Nuit américaine),1973,1,4
Paper Moon,1973,1,4
The Paper Chase,1973,1,3
Save the Tiger,1973,1,3
Frank Film,1973,1,1
Amarcord,1974,1,3[3]
The Great American Cowboy,1973,1,1
Princeton: A Search for Answers,1973,1,1
Mr Hublot,2013,1,1
Blue Jasmine,2013,1,3
Travels with My Aunt,1972,1,4
Butterflies Are Free,1972,1,3
The Candidate,1972,1,2
The Discreet Charm of the Bourgeoisie (Le charme discret de la bourgeoisie),1972,1,2
A Christmas Carol,1972,1,1[5]
Limelight,1972,1,1[6]
Marjoe,1972,1,1
Citizenfour,2014,1,1
Harry and Tonto,1974,1,2
Alice Doesn't Live Here Anymore,1974,1,3
A Place to Stand,1967,1,2
A Funny Thing Happened on the Way to the Forum,1966,1,1
Black and White in Color (Noirs et blancs en couleur),1976,1,1
A Year Toward Tomorrow,1966,1,1
Wild Wings,1966,1,1
"Harlan County, USA",1976,1,1
In the Region of Ice,1976,1,1
Leisure,1976,1,1
Number Our Days,1976,1,1
The War Game,1966,1,1
A Herb Alpert and the Tijuana Brass Double Feature,1966,1,1
20 Feet from Stardom,2013,1,1
Dog Day Afternoon,1975,1,6
Nashville,1975,1,5
Shampoo,1975,1,4
Murder on the Orient Express,1974,1,6
The Sunshine Boys,1975,1,4
"Women – for America, for the World",1986,1,1
Angel and Big Joe,1975,1,1
Dersu Uzala,1975,1,1
The End of the Game,1975,1,1
The Fortune Cookie,1966,1,4
Great (Great (Isambard Kingdom Brunel)),1975,1,1
The Man Who Skied Down Everest,1975,1,1
Ida,2014,1,2
The Great Beauty,2013,1,1
Helium,2013,1,1
Chinatown,1974,1,11
Norman Rockwell's World... An American Dream,1972,1,1
This Tiny World,1972,1,1
Her,2013,1,5
The Thomas Crown Affair,1968,1,2
Arthur Rubinstein – The Love of Life (L'amour de la vie - Artur Rubinstein),1969,1,1
Cactus Flower,1969,1,1
Czechoslovakia 1968,1969,1,1
It's Tough to Be a Bird,1969,1,1
Still Alice,2014,1,1
The Phone Call,2014,1,1
Funny Girl,1968,1,8
2001: A Space Odyssey,1968,1,4
Bullitt,1968,1,2
The Producers,1967,1,2
Rosemary's Baby,1968,1,2
The Subject Was Roses,1968,1,2
War and Peace (Voyna i mir),1968,1,2
Sweeney Todd: The Demon Barber of Fleet Street,2007,1,3
Charly,1968,1,1
Journey into Self,1968,1,1
Robert Kennedy Remembered,1968,1,1
Why Man Creates,1968,1,1
Winnie the Pooh and the Blustery Day,1968,1,1
The Box,1967,1,1
Crisis Hotline: Veterans Press 1,2014,1,1
Big Hero 6,2014,1,1
The Graduate,1967,1,7
Thoroughly Modern Millie,1967,1,7
Cool Hand Luke,1967,1,4
The Anderson Platoon (La Section Anderson),1967,1,1
True Grit,1969,1,2
The Prime of Miss Jean Brodie,1969,1,2
The Magic Machines,1969,1,2
Marooned,1969,1,3
Bedknobs and Broomsticks,1971,1,5
Summer of '42,1971,1,4
The Garden of the Finzi-Continis (Il Giardino dei Finzi-Contini),1971,1,2
The Hospital,1971,1,2
Klute,1971,1,2
Shaft,1971,1,2
The Crunch Bird,1971,1,1
The Hellstrom Chronicle,1971,1,1
Airport,1970,1,10
Love Story,1970,1,7
M*A*S*H,1970,1,5
Tora! Tora! Tora!,1970,1,5
Women in Love,1970,1,4
Closely Watched Trains (Ostre sledované vlaky),1967,1,1
Lovers and Other Strangers,1970,1,3
Woodstock,1970,1,3
Cromwell,1970,1,2
Investigation of a Citizen Above Suspicion (Indagine su un cittadino al di sopra di ogni sospetto),1970,1,2
Interviews with My Lai Veterans,1970,1,1
Is It Always Right to Be Right?,1970,1,1
Let It Be,1970,1,1
The Resurrection of Broncho Billy,1970,1,1
Feast,2014,1,1
Anne of the Thousand Days,1969,1,10
"They Shoot Horses, Don't They?",1969,1,9
The Omen,1976,1,2
Fellini's Casanova (Il Casanova di Federico Fellini),1976,1,2
The Theory of Everything,2014,1,5
The Help,2011,1,4
The Shore,2011,1,1
The Fantastic Flying Books of Mr. Morris Lessmore,2011,1,1
Yentl,1983,1,5
Flashdance,1983,1,4
Boys and Girls,1983,1,1
Flamenco at 5:15,1983,1,1
He Makes Me Feel Like Dancin',1983,1,1
Adventures of Don Juan,1949,1,2
Sundae in New York,1983,1,1
The Year of Living Dangerously,1983,1,1
American Sniper,2014,1,6
A Separation,2011,1,2
Tootsie,1982,1,10
The Descendants,2011,1,5
To Be Alive!,1965,1,1
Victor/Victoria,1982,1,7
Sophie's Choice,1982,1,5
Missing,1982,1,4
If You Love This Planet,1982,1,1
Just Another Missing Kid,1982,1,1[2]
A Shocking Accident,1982,1,1
Tango,1982,1,1
The Eleanor Roosevelt Story,1965,1,1
To Begin Again (Volver a empezar),1982,1,1
Quest for Fire,1982,1,1
Midnight in Paris,2011,1,4
Undefeated,2011,1,1
The Imitation Game,2014,1,8
The African Queen,1951,1,4
The Woman in Red,1984,1,1
Beginners,2011,1,1
Prizzi's Honor,1985,1,8
Back to the Future,1985,1,4
Kiss of the Spider Woman,1985,1,4
Ran,1985,1,4
The Official Story (La Historia Oficial),1985,1,2
The Trip to Bountiful,1985,1,2
The Alaskan Eskimo,1953,1,1
White Nights,1985,1,2
Anna & Bella,1985,1,1
Broken Rainbow,1985,1,1
The Alamo,1960,1,7
Mask,1985,1,1
Molly's Pilgrim,1985,1,1
Witness to War: Dr. Charlie Clements,1985,1,1
Air Force,1943,1,4
Saving Face,2011,1,1
The Muppets,2011,1,1
Indiana Jones and the Temple of Doom,1984,1,2
Charade,1984,1,1
Dangerous Moves (La Diagonale du fou),1984,1,1
Purple Rain,1984,1,1
The Stone Carvers,1984,1,1
The Times of Harvey Milk,1984,1,1
Up,1984,1,1
The Girl with the Dragon Tattoo,2011,1,5
An American Werewolf in London,1981,1,1
A Star Is Born,1976,1,4
Cat Ballou,1965,1,5
Heaven Can Wait,1978,1,9
Days of Heaven,1978,1,4
California Suite,1978,1,3
The Buddy Holly Story,1978,1,3
Death on the Nile,1978,1,1
The Flight of the Gossamer Condor,1978,1,1
Get Out Your Handkerchiefs (Préparez vos mouchoirs),1978,1,1
Scared Straight!,1978,1,1
Special Delivery,1978,1,1
Teenage Father,1978,1,1
The Great Race,1965,1,5
Thank God It's Friday,1978,1,1
Amour,2012,1,5
Close Harmony,1981,1,1
Zero Dark Thirty,2012,1,5
Silver Linings Playbook,2012,1,8
The Goodbye Girl,1977,1,5
A Little Night Music,1977,1,2
Gravity Is My Enemy,1977,1,1
I'll Find a Way,1977,1,1
Madame Rosa (La Vie devant soi),1977,1,1
The Sand Castle (Le Château de sable),1977,1,1
Boyhood,2014,1,6
Interstellar,2014,1,5
Who Are the DeBolts? And Where Did They Get Nineteen Kids?,1977,1,1
You Light Up My Life,1977,1,1
Anna Karenina,2012,1,4
Paperman,2012,1,1
A Patch of Blue,1965,1,5
The Tin Drum (Die Blechtrommel),1979,1,1
Crac,1981,1,1
The Sandpiper,1965,1,1
Genocide,1981,1,1
Mephisto,1981,1,1
Violet,1981,1,1
Curfew,2012,1,1
Inocente,2012,1,1
Coal Miner's Daughter,1980,1,7
The Dollar Bottom,1980,1,1
The Fly (A Légy),1980,1,1
From Mao to Mozart: Isaac Stern in China,1980,1,1
The Shop on Main Street (Obchod na korze),1965,1,2
Karl Hess: Toward Liberty,1980,1,1
Moscow Does Not Believe in Tears,1980,1,1
Searching for Sugar Man,2012,1,1
Brave,2012,1,1
Breaking Away,1979,1,5
Alien,1979,1,2
Being There,1979,1,2
A Little Romance,1979,1,2
Best Boy,1979,1,1
Board and Care,1979,1,1
Every Child,1979,1,1
A Thousand Clowns,1965,1,4
Paul Robeson: Tribute to an Artist,1979,1,1
The Dirty Dozen,1967,1,4
The Little Kidnappers (The Kidnappers),1954,0 (2),0
Fantasia,1940,0 (2),0
The Hindenburg,1975,0 (2),3
Flesh and Sand (Carne y arena),2017,0 (1)[1],0
RoboCop,1987,0 (1),2
Kukan,1941,0 (1),0
The River,1984,0 (1),4
Monsieur Vincent,1948,0 (1),0
The Jazz Singer,1927/28,0 (1),1
Superman,1978,0 (1),3
Return of the Jedi,1983,0 (1),4
In Which We Serve,1942,0 (1),2
Total Recall,1990,0 (1),2
The House I Live In,1945,0 (1),0
Henry V,1946,0 (1),4
Pollyanna,1960,0 (1),0
The Black Stallion,1979,0 (1),2
Rashomon,1951,0 (1),1
Bill and Coo,1948,0 (1),0
The Walls of Malapaga,1950,0 (1),0
Samurai I: Musashi Miyamoto (Miyamoto Musashi),1955,0 (1),0
The Garden of Allah,1936,0 (1),2
A Force in Readiness,1961,0 (1),0
Forbidden Games,1952,0 (1),1
King Kong,1976,0 (1),2
Logan's Run,1976,0 (1),2
Shoeshine (Sciuscià),1947,0 (1),1
Snow White and the Seven Dwarfs,1937,0 (1),1
Spawn of the North,1938,0 (1),0
Sweethearts,1938,0 (1),2
Target for Tonight,1941,0 (1),0
Bicycle Thieves,1949,0 (1),1
The Circus,1927/28,0 (1),0
Planet of the Apes,1968,0 (1),2
Toy Story,1995,0 (1),3
